onderdeel,punt
Basis: achtergrond, 1
Basis: tekst, 2
Basis: structuur, 2
Basis: afbeeldingen, 1
Basis: animaties, 1
Thema: Je bewijst een thema te kunnen gebruiken, 1
Thema: Je bewijst een variant te kunnen gebruiken, 2
Thema: Je bewijst een eigen achtergrond te kunnen gebruiken, 2
Voettekst: 'Datum en tijd' en 'dianummer', 1
Voettekst: Een eigen voettekst, 1
Voettekst: Je titeldia heeft geen voettekst, 1
Koppelingen: Een link naar je artikel, 1
Koppelingen: Op de laatste slide staat een afbeelding met link naar de 1e pagina, 2
