onderdeel,punt
<strong>Onderzoek</strong>
Duidelijke uitleg en je weet waarover je praat, 3
Je hebt een uitgebreide paper, 3
<strong>LaTeX document</strong>
Je hebt A4-papier, 1
Je hebt een titel en auteur en bij de auteur geef je extra dank aan de persoon die je LaTeX geleerd heeft<br>(zie afbeelding onderaan), 1
Je hebt titels & subtitels, 1
Je hebt tekst in het vet (bold) cursief (italic) en onderlijnd (underline), 1
Je hebt een lijst (ordered of unordered), 1
Je hebt een tabel, 1
Je hebt een inhoudstafel in het begin van je document, 1
Onder je inhoudstafel staat een afbeelding, 1
Je afbeelding heeft een caption en je verwijst later terug naar de afbeelding via het label, 1
<strong>LaTeX formule</strong>
Je hebt een uitgebreide LaTeX-formule die aansluit bij je onderwerp, 2
Je geeft uitleg over deze formule, 2
