onderdeel,punt
Webtechnology: Antwoorden de vragen,7
Webtechnology: Je publiceert je Markdown als een website via GitHub pages,3
Bronvermelding volgens de APA regels,3
Markdown: Minstens 2 pagina’s die naar elkaar verwijzen,1
Markdown: Afbeelding,1
Markdown: Link naar een externe pagina,1
Markdown: Link naar een header (#) op dezelfde pagina (bijvoorbeeld een inhoudstafel),1
Markdown: Table,1
Markdown: Je Markdown document is duidelijk en overzichtelijk,1
Markdown: Je maakt voldoende gebruik van verschillende Markdown syntax,2
Export: .docs,1
Export: .html,1
